date,temperature,dewPoint,humidity,windSpeed,pressure,precipitation
2021-09-01,77.5,71.9,71.9,82.8,12.8,0.3
2021-09-02,71.1,53.0,53.0,55.0,11.7,1.04
2021-09-03,69.7,53.0,53.0,57.0,6.1,0.0
2021-09-04,70.8,58.7,58.7,66.7,4.5,0.0
2021-09-05,73.1,64.5,64.5,74.6,6.8,0.0
2021-09-06,77.7,60.3,60.3,58.3,6.8,0.01
2021-09-07,75.2,61.3,61.3,63.7,7.0,0.0
2021-09-08,76.2,67.4,67.4,74.8,11.1,0.0
2021-09-09,72.3,64.1,64.1,76.4,7.2,0.25
2021-09-10,70.3,52.1,52.1,53.5,10.3,0.0
2021-09-11,70.2,56.8,56.8,63.8,5.9,0.0
2021-09-12,74.3,62.6,62.6,68.1,9.8,0.0
2021-09-13,80.3,66.7,66.7,65.2,6.8,0.0
2021-09-14,80.2,69.8,69.8,72.0,4.4,0.0
2021-09-15,80.1,68.0,68.0,68.2,10.4,0.0
2021-09-16,75.4,68.4,68.4,79.4,7.9,0.0
2021-09-17,75.1,69.8,69.8,83.6,8.5,0.79
2021-09-18,74.6,69.3,69.3,84.2,3.4,0.01
2021-09-19,76.3,63.0,63.0,64.8,6.5,0.0
2021-09-20,71.9,59.2,59.2,65.5,6.9,0.0
2021-09-21,73.6,63.4,63.4,70.9,7.6,0.0
2021-09-22,75.2,69.9,69.9,83.7,11.2,0.0
2021-09-23,68.1,61.2,61.2,79.8,11.7,1.47
2021-09-24,65.6,48.5,48.5,56.3,6.0,0.16
2021-09-25,66.6,52.2,52.2,62.5,4.2,0.0
2021-09-26,68.3,47.7,47.7,50.0,8.8,0.0
2021-09-27,68.5,53.3,53.3,59.8,8.3,0.0
2021-09-28,72.9,59.4,59.4,63.6,6.6,0.0
2021-09-29,66.6,48.6,48.6,54.2,7.8,0.0
