stm,pos,size,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loopR.thisRepN,loopR.thisTrialN,loopR.thisN,loopR.thisIndex,loopL.thisRepN,loopL.thisTrialN,loopL.thisN,loopL.thisIndex,Hello.started,Hello.stopped,key_r.started,key_r.stopped,key_gr.started,key_gr.stopped,key_esc_r.keys,key_esc_r.rt,key_esc_r.started,key_esc_r.stopped,fix_right.started,fix_right.stopped,face_r.started,face_r.stopped,key_sel_r.keys,key_sel_r.rt,key_sel_r.started,key_sel_r.stopped,key_l.started,key_l.stopped,key_gl.started,key_gl.stopped,key_esc_l.keys,key_esc_l.rt,key_esc_l.started,key_esc_l.stopped,fix_left.started,fix_left.stopped,face_l.started,face_l.stopped,key_sel_l.keys,key_sel_l.rt,key_sel_l.started,key_sel_l.stopped,bye.started,bye.stopped,sbj,hndns,eye,age,edu,sex,date,expName,psychopyVersion,frameRate,
50.bmp,"(0, -6.11)","(5.24, 5.24)",0,0,0,0,0,0,0,76,,,,,201.87785599997733,None,203.9002247999888,None,203.9002247999888,None,space,27.58463269995991,203.9002247999888,None,231.52137870003935,None,232.02340449998155,232.07232749997638,p,15.416754300007597,232.02340449998155,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
30.bmp,"(0, 6.11)","(5.24, 5.24)",0,0,0,0,0,1,1,47,,,,,,,,,,,,,,,247.45921040000394,None,247.9583898000419,248.00823659996968,p,1.735865000053309,247.9583898000419,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
50.bmp,"(-5.25, 3.05)","(5.24, 5.24)",0,0,0,0,0,2,2,74,,,,,,,,,,,,,,,249.7237335999962,None,250.2234512999421,250.2730572000146,p,1.209603299968876,250.2234512999421,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
60.bmp,"(-5.25, -3.05)","(5.24, 5.24)",0,0,0,0,0,3,3,88,,,,,,,,,,,,,,,251.45552580000367,None,251.95505760004744,252.00486929994076,p,1.2771331999683753,251.95505760004744,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
10.bmp,"(0, 6.11)","(5.24, 5.24)",0,0,0,0,0,4,4,21,,,,,,,,,,,,,,,253.2538523999974,None,253.75361479993444,253.80355019995477,p,1.6545836000004783,253.75361479993444,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
0.bmp,"(1.74, -3)","(3.49, 3.49)",0,0,0,0,0,5,5,6,,,,,,,,,,,,,,,255.43559150001965,None,255.93480409996118,255.9846094000386,p,1.2311571999453008,255.93480409996118,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
20.bmp,"(-5.25, 3.05)","(5.24, 5.24)",0,0,0,0,0,6,6,35,,,,,,,,,,,,,,,257.1839613999473,None,257.6834770999849,257.73328020004556,o,2.509711100021377,257.6834770999849,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
60.bmp,"(5.25, -3.05)","(5.24, 5.24)",0,0,0,0,0,7,7,90,,,,,,,,,,,,,,,260.2146198999835,None,260.7140756000299,260.7639647000469,p,0.9832642000401393,260.7140756000299,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
30.bmp,"(1.74, -3)","(3.49, 3.49)",0,0,0,0,0,8,8,45,,,,,,,,,,,,,,,261.72973819996696,None,262.2295264999848,262.2793419000227,p,1.105943699949421,262.2295264999848,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
10.bmp,"(-1.74, -3)","(3.49, 3.49)",0,0,0,0,0,9,9,18,,,,,,,,,,,,,,,263.36200870003086,None,263.86146609997377,263.91131570003927,p,1.2954966999823228,263.86146609997377,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
