sbj,stm,rt,key,pos,uhnd,hndns,eye,sex,age,edu
8101003552,50.bmp,15.4167543,p,12,r,r,r,f,45,1
8101003552,30.bmp,1.735865,p,9,r,r,r,f,45,1
8101003552,50.bmp,1.2096033,p,10,r,r,r,f,45,1
8101003552,60.bmp,1.2771332,p,11,r,r,r,f,45,1
8101003552,10.bmp,1.6545836,p,9,r,r,r,f,45,1
8101003552,0.bmp,1.2311572,p,7,r,r,r,f,45,1
8101003552,20.bmp,2.5097111,o,10,r,r,r,f,45,1
8101003552,60.bmp,0.9832642,p,13,r,r,r,f,45,1
8101003552,30.bmp,1.1059437,p,7,r,r,r,f,45,1
8101003552,10.bmp,1.2954967,p,6,r,r,r,f,45,1
8101003552,70.bmp,7.0651987,p,7,r,r,r,f,45,1
8101003552,50.bmp,0.9853584,p,11,r,r,r,f,45,1
8101003552,80.bmp,0.8498771,p,5,r,r,r,f,45,1
8101003552,20.bmp,0.5864892,p,8,r,r,r,f,45,1
8101003552,40.bmp,0.7444942,p,7,r,r,r,f,45,1
8101003552,70.bmp,0.9861865,p,6,r,r,r,f,45,1
8101003552,70.bmp,2.217474,p,1,r,r,r,f,45,1
8101003552,20.bmp,0.7792333,p,6,r,r,r,f,45,1
8101003552,70.bmp,1.3699354,p,12,r,r,r,f,45,1
8101003552,80.bmp,1.0687821,o,11,r,r,r,f,45,1
8101003552,50.bmp,0.8161905,p,3,r,r,r,f,45,1
8101003552,40.bmp,1.0556389,o,1,r,r,r,f,45,1
8101003552,10.bmp,1.6224204,p,8,r,r,r,f,45,1
8101003552,10.bmp,1.2447708,p,13,r,r,r,f,45,1
8101003552,40.bmp,0.8490043,p,12,r,r,r,f,45,1
8101003552,70.bmp,1.8742533,p,13,r,r,r,f,45,1
8101003552,40.bmp,1.1698217,p,11,r,r,r,f,45,1
8101003552,0.bmp,0.7737878,p,9,r,r,r,f,45,1
8101003552,10.bmp,1.6297057,p,11,r,r,r,f,45,1
8101003552,10.bmp,1.1325396,p,7,r,r,r,f,45,1
8101003552,30.bmp,0.9225318,p,5,r,r,r,f,45,1
8101003552,70.bmp,0.7502728,p,5,r,r,r,f,45,1
8101003552,60.bmp,1.0279262,p,9,r,r,r,f,45,1
8101003552,30.bmp,2.5689684,p,2,r,r,r,f,45,1
8101003552,80.bmp,1.151319,o,1,r,r,r,f,45,1
8101003552,70.bmp,1.3014372,p,11,r,r,r,f,45,1
8101003552,10.bmp,1.0766525,p,2,r,r,r,f,45,1
8101003552,40.bmp,2.0346067,p,2,r,r,r,f,45,1
8101003552,80.bmp,1.9933498,p,9,r,r,r,f,45,1
8101003552,30.bmp,2.4409015,p,12,r,r,r,f,45,1
8101003552,40.bmp,1.4712842,o,13,r,r,r,f,45,1
8101003552,20.bmp,1.0463917,p,3,r,r,r,f,45,1
8101003552,10.bmp,0.7788972,p,12,r,r,r,f,45,1
8101003552,20.bmp,1.356986,p,2,r,r,r,f,45,1
8101003552,10.bmp,1.2443516,p,5,r,r,r,f,45,1
8101003552,10.bmp,1.3312384,p,10,r,r,r,f,45,1
8101003552,50.bmp,1.5745287,p,6,r,r,r,f,45,1
8101003552,0.bmp,1.5654631,p,2,r,r,r,f,45,1
8101003552,20.bmp,1.3039967,p,11,r,r,r,f,45,1
8101003552,50.bmp,1.1127931,p,9,r,r,r,f,45,1
8101003552,0.bmp,1.3060394,p,1,r,r,r,f,45,1
8101003552,20.bmp,1.222483,p,12,r,r,r,f,45,1
8101003552,10.bmp,1.297549,p,3,r,r,r,f,45,1
8101003552,60.bmp,1.5209445,o,1,r,r,r,f,45,1
8101003552,20.bmp,1.0653193,p,9,r,r,r,f,45,1
8101003552,40.bmp,1.8523698,p,9,r,r,r,f,45,1
8101003552,50.bmp,1.4532753,p,7,r,r,r,f,45,1
8101003552,60.bmp,1.0666032,p,5,r,r,r,f,45,1
8101003552,70.bmp,1.1882597,p,9,r,r,r,f,45,1
8101003552,80.bmp,1.0698172,p,7,r,r,r,f,45,1
8101003552,40.bmp,0.8840183,p,5,r,r,r,f,45,1
8101003552,60.bmp,1.0378791,o,10,r,r,r,f,45,1
8101003552,20.bmp,0.9143378,p,5,r,r,r,f,45,1
8101003552,80.bmp,4.9533915,p,12,r,r,r,f,45,1
8101003552,80.bmp,1.5322835,o,8,r,r,r,f,45,1
8101003552,40.bmp,1.6386141,p,8,r,r,r,f,45,1
8101003552,50.bmp,0.8362042,p,2,r,r,r,f,45,1
8101003552,20.bmp,1.0293332,p,4,r,r,r,f,45,1
8101003552,40.bmp,3.3962774,p,6,r,r,r,f,45,1
8101003552,20.bmp,0.8529652,o,1,r,r,r,f,45,1
8101003552,20.bmp,1.0317045,p,13,r,r,r,f,45,1
8101003552,30.bmp,0.6698807,p,8,r,r,r,f,45,1
8101003552,20.bmp,0.7153289,p,7,r,r,r,f,45,1
8101003552,70.bmp,0.7517224,p,10,r,r,r,f,45,1
8101003552,30.bmp,1.7765505,p,6,r,r,r,f,45,1
8101003552,80.bmp,0.8661191,p,6,r,r,r,f,45,1
8101003552,60.bmp,1.4034017,p,2,r,r,r,f,45,1
8101003552,60.bmp,1.0178388,p,8,r,r,r,f,45,1
8101003552,80.bmp,0.7431938,p,13,r,r,r,f,45,1
8101003552,30.bmp,0.8701793,p,10,r,r,r,f,45,1
8101003552,10.bmp,1.0493104,p,4,r,r,r,f,45,1
8101003552,30.bmp,0.8626021,p,11,r,r,r,f,45,1
8101003552,30.bmp,0.8217027,p,13,r,r,r,f,45,1
8101003552,40.bmp,0.6212014,p,4,r,r,r,f,45,1
8101003552,40.bmp,0.7915842,p,10,r,r,r,f,45,1
8101003552,50.bmp,1.7163603,o,4,r,r,r,f,45,1
8101003552,0.bmp,0.8103979,p,8,r,r,r,f,45,1
8101003552,80.bmp,0.8424501,p,3,r,r,r,f,45,1
8101003552,70.bmp,0.8796979,p,2,r,r,r,f,45,1
8101003552,0.bmp,0.8090923,p,13,r,r,r,f,45,1
8101003552,60.bmp,0.6448972,p,6,r,r,r,f,45,1
8101003552,0.bmp,0.9137648,p,5,r,r,r,f,45,1
8101003552,60.bmp,0.6463126,p,12,r,r,r,f,45,1
8101003552,60.bmp,0.761976,p,4,r,r,r,f,45,1
8101003552,50.bmp,0.8299341,p,5,r,r,r,f,45,1
8101003552,80.bmp,1.0286986,p,4,r,r,r,f,45,1
8101003552,0.bmp,0.7419258,p,6,r,r,r,f,45,1
8101003552,40.bmp,1.0840264,p,3,r,r,r,f,45,1
8101003552,10.bmp,1.3646673,o,1,r,r,r,f,45,1
