stm,pos,size,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loopR.thisRepN,loopR.thisTrialN,loopR.thisN,loopR.thisIndex,loopL.thisRepN,loopL.thisTrialN,loopL.thisN,loopL.thisIndex,Hello.started,Hello.stopped,key_r.started,key_r.stopped,key_gr.started,key_gr.stopped,key_esc_r.keys,key_esc_r.rt,key_esc_r.started,key_esc_r.stopped,fix_right.started,fix_right.stopped,face_r.started,face_r.stopped,key_sel_r.keys,key_sel_r.rt,key_sel_r.started,key_sel_r.stopped,key_l.started,key_l.stopped,key_gl.started,key_gl.stopped,key_esc_l.keys,key_esc_l.rt,key_esc_l.started,key_esc_l.stopped,fix_left.started,fix_left.stopped,face_l.started,face_l.stopped,key_sel_l.keys,key_sel_l.rt,key_sel_l.started,key_sel_l.stopped,bye.started,bye.stopped,sbj,hndns,eye,age,edu,date,expName,psychopyVersion,frameRate,uhnd
30.bmp,"(-3.49, 0)","(3.49, 3.49)",0,0,0,0,0,0,0,43,,,,,112.809686,None,114.8408809,None,114.8408809,None,space,13.5444654,114.8408809,None,128.4267847,None,128.9232075,128.9731978,p,1.5327399,128.9232075,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
60.bmp,"(-5.25, -3.05)","(5.24, 5.24)",0,0,0,0,0,1,1,88,,,,,,,,,,,,,,,130.4888209,None,130.9884958,131.0380868,p,0.7401107,130.9884958,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
70.bmp,"(-1.74, 3)","(3.49, 3.49)",0,0,0,0,0,2,2,94,,,,,,,,,,,,,,,131.7541577,None,132.2534315,132.3032653,p,0.7735225,132.2534315,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
10.bmp,"(-5.25, 3.05)","(5.24, 5.24)",0,0,0,0,0,3,3,22,,,,,,,,,,,,,,,133.0528077,None,133.5526979,133.6025488,p,0.7323334,133.5526979,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
40.bmp,"(1.74, -3)","(3.49, 3.49)",0,0,0,0,0,4,4,58,,,,,,,,,,,,,,,134.3019815,None,134.801763,134.8515604,p,0.6903778,134.801763,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
20.bmp,"(5.25, 3.05)","(5.24, 5.24)",0,0,0,0,0,5,5,33,,,,,,,,,,,,,,,135.5175061,None,136.0173022,136.0669066,p,0.8825889,136.0173022,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
60.bmp,"(0, 0)","(2.18, 2.18)",0,0,0,0,0,6,6,78,,,,,,,,,,,,,,,136.9166227,None,137.4325479,137.4825657,p,0.7116335,137.4325479,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
80.bmp,"(-5.25, 3.05)","(5.24, 5.24)",0,0,0,0,0,7,7,113,,,,,,,,,,,,,,,138.1650212,None,138.6650237,138.7145219,p,1.1469843,138.6650237,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
0.bmp,"(-5.25, -3.05)","(5.24, 5.24)",0,0,0,0,0,8,8,10,,,,,,,,,,,,,,,139.830308,None,140.3300006,140.3796943,p,0.7125337,140.3300006,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
10.bmp,"(0, 6.11)","(5.24, 5.24)",0,0,0,0,0,9,9,21,,,,,,,,,,,,,,,141.0629009,None,141.5623978,141.6121326,p,0.6916644,141.5623978,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
